,pres,up,rho,temp,j,time,pos
24,40000000000.0,0.0,2.327065014102397,1865.4415314834114,49,0.0,0.0246
299,39439565721.345726,107.43145421284487,2.327065014102397,1865.4415314834114,49,2.777777777777778e-06,0.02460107431454213
574,12022693123.886374,1943.065781165073,2.3270650318034205,1865.5602451237683,49,3.0555555555555554e-05,0.024716986329533112
849,3492175146.762161,2843.2604200611263,2.327062787873901,1865.559485979229,49,5.833333333333333e-05,0.02496228181333806
1124,2160855457.6615486,3282.0043806256103,2.326785090285254,1865.4656576204507,49,8.61111111111111e-05,0.025271125857876206
1399,1578817971.8364496,3532.685956804189,2.3213814164035727,1863.7145429698285,49,0.00011388888888888888,0.02561295278199875
1674,1164891447.1145499,3701.5206708013525,2.2893969580819187,1852.0397106398232,49,0.00014166666666666668,0.025975206419158188
1949,866846310.5011606,3829.414979530426,2.2110389156813093,1823.172440847261,49,0.00016944444444444445,0.026352062922246816
2224,651556107.9303051,3934.3164257776684,2.1055905787044327,1785.223303062321,49,0.00019722222222222222,0.02674044935175217
2499,495332830.27384645,4024.4074151178656,2.00009267079841,1747.8883010540685,49,0.000225,0.02713853432598781
2774,381084087.75484085,4103.293088157164,1.9046844213061371,1714.1325143038198,49,0.00025277777777777777,0.027545044774810186
3049,296664197.0222067,4172.457649671277,1.8201297731244765,1684.3951789676253,49,0.00028055555555555554,0.027958943110352623
3324,233524414.27960435,4233.0049648721615,1.7448844141157838,1657.9467634970774,49,0.0003083333333333333,0.028379314001181936
3599,185718338.81913385,4285.944569350797,1.6773633650625444,1634.1424925804859,49,0.0003361111111111111,0.028805347319666032
3874,149084893.9461978,4332.21578678754,1.6162153244872093,1612.4441451851862,49,0.00036388888888888886,0.02923633031253202
4149,120707648.94004622,4372.682650153936,1.5603354507865743,1592.4230194736053,49,0.00039166666666666663,0.029671640454932795
4424,98493176.21662185,4408.1228887412235,1.5088254407645507,1573.7164943039259,49,0.00041944444444444445,0.03011073733673807
4699,80943608.84707318,4439.222966902014,1.4609483824808571,1556.051436352639,49,0.00044722222222222217,0.030553153722456712
4974,66960258.2169194,4466.580194801924,1.4160897396705479,1539.1702335742789,49,0.000475,0.03099848648358961
5249,55742246.4865055,4490.708945583157,1.3737253225857553,1522.863507834082,49,0.0005027777777777778,0.031446387966492746
5524,46661834.639705874,4512.049393703761,1.3333980502803844,1506.9370524219748,49,0.0005305555555555555,0.03189655813171955
5799,39512627.137441814,4530.39127946326,1.296053191025515,1491.7593435078263,49,0.000557369336269373,0.032333014119560695
6074,35548926.54673755,4541.2457112718175,1.2724405847928353,1481.9155199855927,49,0.000574842579241393,0.032618341353493285
6349,31856412.845552217,4551.898108544019,1.2480206205114381,1471.5050410591093,49,0.000593322424808205,0.03292082121216225
6624,28369236.273200355,4562.534062451202,1.222207483108291,1460.2165159864471,49,0.0006132848190898865,0.03324833280003999
6899,25023481.678138543,4573.353402868144,1.1942369988252057,1447.661711269764,49,0.0006353853649515754,0.0336117780100913
7174,21798107.760764305,4584.488459717231,1.1633615113122215,1433.4047782420853,49,0.0006603451435501916,0.0340232310332118
7449,18653553.697423857,4596.153806900279,1.1283747032006728,1416.7495754644171,49,0.00068937147236222,0.03450291303488455
7724,15568389.048728587,4608.623753324347,1.0874423492575491,1396.5973569007172,49,0.0007243857734528589,0.03508307597489187
7999,12484324.374371605,4622.392541288056,1.0370824354632233,1370.8096415101625,49,0.0007691328183889325,0.035826626309848834
8274,11528041.930326315,4638.46851739772,0.970276573700062,1334.9155001772656,49,0.0008316103363916209,0.03686817524443782
8549,10465515.886311663,4656.8711544621165,0.8813268106473193,1284.1232812978515,49,0.000921172860805399,0.03836685645487676
8824,9398835.499775607,4673.181344368213,0.7885170308770825,1227.3992794975995,49,0.0010242359709342044,0.04009787299442599
9099,8371764.16486281,4686.726495944157,0.6993821268319673,1169.1672968080013,49,0.0011354625146644721,0.041971942058779466
9374,7297485.131889982,4698.270319249287,0.6139892896856913,1109.6090241176057,49,0.0012575501325737654,0.044034497606485916
9649,6379626.535143693,4708.458344710796,0.5323749266477217,1048.76337654197,49,0.0013943234436820434,0.04635048205740211
9924,10062.11219393063,5074.144409744853,0.0017065863867213908,434.0369080478878,49,0.017497901135426236,0.3338397283089696
10199,413.2423161832819,5191.347328717311,9.586094043749195e-05,345.82770316047237,49,0.04660793437693438,0.8732343631480893
10474,79.99408265412737,5238.329011052208,2.0294085804637998e-05,314.43816371047774,49,0.0779095803055432,1.4612280747011408
10749,47.86694877786371,5252.334115548661,1.1771718174184615e-05,304.1832220334122,49,0.09320315099263657,1.7500394146011387
11024,33.58764926507638,5260.190100457924,8.419427133415014e-06,298.0744561386468,49,0.10405456271011192,1.955382440647639
11299,25.876038884033484,5265.506838839238,6.56729895717512e-06,293.9696825028596,49,0.11290148315693946,2.1230015699468665
11574,21.149622755651745,5269.346214203766,5.4010888100390886e-06,291.17011451916704,49,0.12038717665109529,2.264952365390582
11849,17.942220961232092,5272.338753843832,4.591670597824087e-06,288.9788960667749,49,0.126976386069703,2.389983882397622
12124,15.289206459675944,5274.75330672199,3.994272695662408e-06,286.67204615783714,49,0.13292112930235123,2.502844288523954
12399,13.50553433852397,5276.647395471908,3.5367714072190236e-06,284.91723517659557,49,0.1383344763711969,2.6056580083104985
