,pres,up,rho,temp,j,time,pos
24,20000000000.0,0.0,2.0859509694802534,868.4794661595225,49,0.0,0.0246
299,19823993606.09752,59.92470093645163,2.085950969480253,868.4794661595225,49,2.777777777777778e-06,0.02460059924700936
574,8282442181.222111,1142.0756825582646,2.0859510265875487,868.4454656899397,49,3.0555555555555554e-05,0.024667278487065954
849,2512475692.2515025,1759.9036078906815,2.0859509829124954,868.4454558739467,49,5.833333333333333e-05,0.02481569939702736
1124,1311176374.8960853,2096.8312020030526,2.0859357848106193,868.4420404234779,49,8.61111111111111e-05,0.02501038929077424
1399,874226011.95003,2289.278246237721,2.085504834525826,868.3454714304771,49,0.00011388888888888888,0.025230596714456335
1674,591204303.0550984,2411.800092327816,2.0813194129587194,867.4493422527985,49,0.00014166666666666668,0.02546611462737985
1949,394326934.8648052,2498.0238672620108,2.063139709235867,863.9995089196896,49,0.00016944444444444445,0.025711869409462372
2224,254753230.39889637,2563.5560526131094,2.020993788697398,855.0207320420359,49,0.00019722222222222222,0.02596511362224241
2499,154783113.2130324,2616.044476218986,1.9588773958322272,842.5523002503733,49,0.000225,0.02622420915926753
2774,82656024.99290155,2659.1248638413854,1.8901684233997587,828.5196226028213,49,0.00025277777777777777,0.026488058105415574
3049,30275701.52946635,2694.682847627917,1.8237204192625456,815.0096507536241,49,0.00028055555555555554,0.02675582382860275
3324,771704.2182413399,2723.8502976994773,1.7625464206797512,802.5908487081366,49,0.0003083333333333333,0.02702681316042602
3599,769070.7326084721,2748.292055678043,1.7069221340739866,791.2943341973073,49,0.0003361111111111111,0.027300466607500976
3874,766459.7373296883,2768.878339045129,1.656292552596964,780.9872031194247,49,0.00036388888888888886,0.02757636558062221
4149,763861.4094018675,2786.072002724596,1.6099587690994914,771.5024695146918,49,0.00039166666666666663,0.027854148107887274
4424,761265.6823539138,2800.3047125849143,1.5672697883369244,762.7091524832326,49,0.00041944444444444445,0.0281334970382578
4699,758662.7397321644,2811.9665761927686,1.527662439768232,754.4649831052899,49,0.00044722222222222217,0.02841413634876991
4974,756046.2306632244,2821.4022080654377,1.4906586404209823,746.683098771031,49,0.000475,0.028695826740801633
5249,753408.4287204158,2828.9112035710036,1.4558520633437058,739.2585750403662,49,0.0005027777777777778,0.02897836108347623
5524,750746.8903197524,2834.7516842845444,1.42289340980956,732.1332229638834,49,0.0005305555555555555,0.029261560077696397
5799,748117.5322102441,2839.0521118212096,1.3922798882044054,725.4026099962784,49,0.0005576079404660313,0.029537854214487565
6074,746184.4005060539,2841.4179628464035,1.3707362139425407,720.5908728389724,49,0.0005773305796859197,0.029739519587862324
6349,744222.6815173908,2843.2080104858105,1.349723479706549,715.8324021714027,49,0.0005970716013746915,0.029941520069244925
6624,742239.7035974859,2844.475047949286,1.3291302408773953,711.100280990686,49,0.0006168581323082112,0.03014409463617639
6899,740218.6478420974,2845.264818051102,1.3088313628735295,706.3612119056012,49,0.0006367467437938378,0.03034778752532062
7174,738159.5968799774,2845.6148318239207,1.2886775468226082,701.5687943177816,49,0.0006568423679722518,0.030553641425994416
7449,736022.5876382232,2845.678898133163,1.2684776419427732,696.677849153345,49,0.0006773167001848296,0.03076338759998204
7724,733799.0388984433,2845.73324297108,1.247975394582812,691.6126880469399,49,0.0006984249300662595,0.030979631761072934
7999,731438.7679521746,2845.790835461215,1.2268229797864176,686.2643343876696,49,0.0007205285828421627,0.03120607802893954
8274,728877.457464318,2845.8530942035986,1.2045630887203198,680.5083761361809,49,0.0007441262773178088,0.03144783546387308
8549,726053.1527137008,2845.922026149874,1.1806018506162097,674.1654096343486,49,0.0007699070963268485,0.03171196501210739
8824,722812.5761816115,2846.000485741411,1.1541614245149403,666.9858484778683,49,0.0007988259617180007,0.03200825213622073
9099,719041.9734799168,2846.0920275627723,1.1243801312027397,658.6777520465561,49,0.000832020099463717,0.032348351560607884
9374,714457.4498501279,2846.2032416050965,1.0896659922884762,648.6933118650772,49,0.0008715979872621882,0.03275387185562153
9649,708572.4775831249,2846.345585308827,1.0474487466077353,636.1161961126132,49,0.0009211297807417137,0.03326140380624947
9924,700469.6444397189,2846.5421766644818,0.9929598886361524,619.1797782474839,49,0.0009876207208593753,0.03394274974442385
10199,689760.5328806372,2846.8216316056137,0.9225885420947614,596.1289793424206,49,0.0010785730178696888,0.03487483399669619
10474,676344.9414881783,2847.170022075974,0.8453007663314168,569.2653081660063,49,0.0011867778545171011,0.03598384550569499
10749,660750.992064521,2847.5773338403874,0.7675927384162718,540.5759577068602,49,0.0013071083111518683,0.037217298428976545
11024,619506.7283981582,2848.663806772795,0.6123892178910401,501.77509304565444,49,0.0016091113644464156,0.04031381188755867
11299,658.9250015918302,3039.9343945626756,0.0003022254383477028,350.37358652696025,49,0.05121994537007697,0.5704775903891892
11574,77.28972807647064,3095.0854782835127,3.921346468243948e-05,311.11468656523886,49,0.102355816761021,1.135912617344309
11849,33.634428007205635,3118.604070879072,1.5042043702527307e-05,295.28229297460837,49,0.14075857031092573,1.5655446768585208
12124,21.014499258251448,3129.1039762037854,9.486992677938825e-06,288.901303075712,49,0.16391129621025646,1.825938820566768
12399,15.164512241000265,3136.0956181689726,7.003155572207148e-06,284.5536553577827,49,0.18115064849631052,2.020356622296536
12674,12.057550158989153,3141.3803412803086,5.562433381236006e-06,281.17807224333586,49,0.19540307463333578,2.181405047079464
12949,9.94163577895262,3145.361435064208,4.626542066439675e-06,278.9311695258789,49,0.2075870510072432,2.3192837474754295
13224,8.430311466851617,3148.5050719617857,3.96292370388272e-06,276.8077019619626,49,0.21840516125484338,2.441843287532739
13499,7.437420155668002,3151.0475446847354,3.467373314924065e-06,275.0475141532778,49,0.22818031405356234,2.552686880529801
13774,6.505657750790036,3153.162619987735,3.084039904058131e-06,273.89470282671107,49,0.2371085909767699,2.6540020732351874
14049,5.848897915961778,3154.912226631394,2.7776253535926785e-06,272.7193375597853,49,0.24536955885949308,2.7478022656113525
14324,5.360109144543804,3156.3967909223943,2.526901141295975e-06,271.9261176118721,49,0.2530893461323811,2.8355022910054326
14599,4.857557980074138,3157.6684771272144,2.3184014168444166e-06,271.10459540377235,49,0.2603430755582671,2.917943708771456
14874,4.496000063415945,3158.7316275611875,2.1418241053084115e-06,270.27800164255876,49,0.267188398197744,2.995772126041572
15149,4.222906095686376,3159.638372415594,1.9904093984378157e-06,269.6300320087885,49,0.2736801620484556,3.0696036619111386
